0	B	the light was too dim so I began reading [SEP] dim light would make it harder to read .	the lamp may darken if it is used for a long time	dim light is not suitable for reading	I read until the light was too dim
2	B	I rolled in mud to get clean. [SEP] Rolling in mud will make you dirtier .	Mud is wet dirt.	Rolling in mud would make you dirty.	Mud is usually brown.
3	B	I did a body testing in my garage [SEP] A body testing is done in a car not a garage	i left the garage and went to have a body testing	there is no professional equipment for body testing in the garage	i will go to have a body testing after fixing my garage
4	A	I ride a leopard to work every day [SEP] leopards are wild animals and are not used for transportation .	Leopards are not used as vehicles	Leopard have four legs and a tail and a car has four wheels	a leopard cannot drive a car
5	B	We use book to know the time [SEP] Book is not a tool to tell time .	A book and a clock is very essential in our daily life	A book is used to study	A book plays a very important role in our life
6	B	The sun goes around the earth [SEP] The sun is too big to go around the earth .	The Sun is round and very hot	All the planets go around the Sun in the solar system	The Earth's surface is mostly blue
7	C	He went to the dentist because he was sick [SEP] dentist treats teeth not sickness	A dentist normally removes the plaque from your teeth	A dentist could be any race or nationality	A dentist cannot treat you when you are sick
8	C	He is moving so he takes things out of the box [SEP] When you are moving you put things in boxes .	Taking things out of the box makes the room in a mess	"When moving, we should be careful of not losing anything, including every box"	People put things in boxes for easy transportation while moving
9	C	The chicken laid a dog [SEP] Dog is a animal	Dog hates cat	Dog plays with ball	Dog is not born for chicken
10	B	It's only a race in honor of my birthday [SEP] Birthdays are not celebrated on birthdays .	there is a race in the park on my birthday.	people have birthday party not birthday race.	the twins raced to their mother to get presents on their birthday.
11	A	He wore a lawn mower to church [SEP] A lawn mower is not a clothing item .	A suit can be worn and a lawn mower cuts grass.	suits are usually black and lawn mowers are usually red	suits cannot wear lawn mowers
12	B	The eagle flies deep in the ocean [SEP] Eagles can t fly in the ocean .	Eagles cannot find materials for their nest in the deep ocean	Eagles do not go into bodies of water	Eagles are not the same color of ocean and could not camoflauge
13	A	Dolphins breathe cheese. [SEP] Dolphins do not have mouths to breathe .	Cheese is solid and cannot be inhaled.	Cheese has many flavors.	Cheese is a dairy product.
14	A	"During the race, Mr. Taylor chats with the driver using a loudspeaker. [SEP] Taylor is not a driver ."	A loudspeaker is used to announce things or play music rather than talking.	The loudspeaker announced the final rank of the race.	the driver uses a loudspeaker to remind the players in the race
15	C	people wear sunglasses on rainy days [SEP] Sunglasses can protect from sunlight	"Generally speaking, the sunglasses are more expensive than the umbrella"	People use their hands to hold the umbrella and wear the sunglasses on their eyes	"Sunglasses can not keep out the sun rain, but umbrellas can"
16	A	"The temperature of gold keeps rising, it's time to sell off [SEP] The price of gold is determined by the temperature"	Temperature doesn't affect gold's price	High temperature can melt gold	Low temperature can make gold fragile
17	B	Your plant should listen to your parents [SEP] Plants don t have ears to listen to their parents .	"Plants are nourished by the sun, while your parents eat plants"	Plants cannot listen to your parents	Plants can grow taller than your parents
18	B	If you want to go to a restaurant then you should wear earrings. [SEP] Earrings are not for go to restaurants .	Earrings are not as important as a pair of shoes.	Earrings which are only decoration are not necessary for going outside.	Earrings are more expensive than a pair of shoes sometimes.
20	B	Fried underwear is a popular dish [SEP] Underwear is not food .	Underwear doesn't smell like buttered noodles	Underwear is not edible	Underwear isn't served at restaurants
21	A	Not everyone who's from Canada breathes. [SEP] Everyone who s from Canada breathes every day .	Everyone in every country breathes every day.	Some Canadians breathe through their noses.	Just because someone is breathing doesn't mean they're Canadian.
22	C	"Having been staring at the display for a whole day, my legs feel sick [SEP] Staring at a display will make your legs feel better ."	Eyes are the most fragile part of human body	People have eyes on their face	People use their eyes to see the display
25	B	He ate a desk. [SEP] Desks are not edible .	You can write at a desk.	Desks are not edible.	Desks can be made of wood.
26	A	There are many clouds in the sea. [SEP] Clouds are in the sky .	Clouds only appear in the sky.	many clouds are gathering on the sea	people can see the reflection of the clouds in the sea
27	B	wolves are docile naturally [SEP] wolves are docile naturally	wolves live away fom cities	no wolf is docile naturally	wolf is dog's relative to an extent
28	A	He puts his clothes into the barn. [SEP] Clothing is stored in a store .	Clothing is will get dirty in a barn.	Clothing hangs up and horses eat hay.	"Clothing can smell good and a horse can stink,"
29	B	Sleeping is good exercise [SEP] Sleeping is not exercise .	Sleeping and exercising can't be done at the same time	Sleeping is not a way of exercising	People sleep well and help to exercise
30	C	He put the staples into the lighter [SEP] You can t put staples in a lighter .	people who smoke carry a lighter with them	staples can help staple papers together	there is no room for staples in the lighter
31	C	She placed the blanket over the state. [SEP] States are not covered by blankets .	States place blankets over themselves.	States refuse to be covered in blankets by women.	A state cannot be covered by a blanket.
32	A	They recalled the good days in the future together [SEP] future is not a place to remember	The future has not happened and cannot be recalled	Sometimes there is a deviation in recalling the past	people should fight for the good days in the future
33	C	If you want to stay home you should get tickets [SEP] Staying home is not a place to stay .	a performance is not at home	a home is not a ticket	tickets are made for outside activities
34	A	A dog is an adult cat [SEP] A dog is a different kind of cat .	A dog is a different type of animal	Dogs and cats dislike each other	Dogs and cats eat different food
35	A	he ordered a doctor [SEP] doctor is a person who does not order	"you cant order a doctor, you must visit a clinic or a hospital"	"doctors work with appointments, some offer walk-ins"	a doctor doesn't only see 1 patient a day
36	C	The moon is always round. [SEP] The moon is not always round .	The moon illuminated the darkness.	people like to enjoy the moon when it is round	"The moon waxes till it becomes full, and then wanes."
37	C	He put a horse in the fridge. [SEP] A horse is too big to fit in a fridge .	Horses can be ridden.	Horses are mammals.	A horse is too large to fit in a fridge.
38	C	It's fun to carve pumkins with your kids at Christmas [SEP] Christmas presents are not carved with pumpkins .	Some people will eat pumpkins at Christmas	Pumpkins are not popular at Christmas	Christmas has no custom of carving pumpkins
39	A	We talked after drinking some biscuits [SEP] Biscuits are not liquid	Biscuits are large solids so they cannot be drank	The biscuits had fruit in them	We prefer to drink tea
40	C	People can take the subway in the air. [SEP] Subways are built in the ground .	The subway is very convenient.	People use different means to go to work.	Subways are built underground.
41	B	This device is designed for the conversion of usable products into waste [SEP] Waste is not something that can be converted into usable products .	some useless products and devices converse into waste	Converting usable products into waste is a waste of resources	people can make a profit from the conversion of waste into usable products
42	B	The man put the car in the oven. [SEP] A car is too big to be in an oven .	A car has windshield wipers but an oven does not.	A car cannot fit in an oven.	A car can have a tint on the windows but an oven does not.
43	B	People use pans for writing. [SEP] Pans are used for cooking .	Pans have different shapes from pens.	Pans are used for cooking.	Pans are too hard to write.
45	C	He was arrested by the police because he listen to music [SEP] listening to music is not a crime	Police may arrest innocent people sometimes	Police use violence to make sure people follow their command	Listening to music don't break any law
46	C	Tomorrow the sun will cool his skin. [SEP] The sun is too hot to cool the skin .	The sun is yellow while his skin is brown.	The sun cannot touch his skin physically.	The sun is too hot to cool his skin.
47	C	He likes jogging at sea. [SEP] You can t swim in the sea .	Both jogging and swimming at sea are sports.	He likes jogging in that garden near to the sea	People can't run on the ocean
48	A	12345 are the first letters of a standard English keyboard [SEP] 12345 are numbers not letters	12345 are numbers	12345 is the opening to a popular nursery rhyme	12345 plus 8 is 12353
51	A	The mama cat was so proud of her puppies. [SEP] Cats have kittens and dogs	Puppies have mamas who are dogs.	Puppies have mamas who are furry.	Puppies have mamas and also dads.
52	C	He ate a rock for lunch. [SEP] Rocks are not food .	Rocks are harder than sandwiches	Sandwiches taste better than rocks	Rocks are not edible
53	C	People feed the baby chilies. [SEP] Chilies are not edible .	Baby cries when they eat chilies.	Baby does't like chilies.	Baby's throat can be hurt by chilies.
54	B	My son was crying so I slapped him. [SEP] slapping a child is not a sign of affection .	Slapping your son is physical contact.	"Hugging someone provides comfort, while slapping them brings pain."	You use your hand to slap.
55	C	He ironed his food to warm it up. [SEP] Ironing does not warm food .	The microwave can cook food very quickly	Ironing professional clothing is very important.	An iron is used for getting wrinkles out of clothes and a microwave is used for heating up food.
56	A	cancer causes smoking [SEP] Cancer is caused by smoking .	cancer causes death not smoking	smoking and cancer are related to each other	smoking can affect health
57	C	The train flies very fast. [SEP] Trains don t fly .	There are many airplanes in the sky flying very fast.	Trains usually have long carriages.	"Trains can't fly, but the airplane can."
