0	B	the light was too dim so I began reading [SEP] light was too dim I began [SEP] I began reading	the lamp may darken if it is used for a long time [SEP] it is used for long time [SEP] lamp may darken used for time	dim light is not suitable for reading [SEP] light is not suitable	I read until the light was too dim [SEP] I read dim [SEP] light was dim
2	B	I rolled in mud to get clean. [SEP] I rolled in mud [SEP] I rolled get [SEP] I get clean	Mud is wet dirt. [SEP] Mud is dirt	Rolling in mud would make you dirty. [SEP] Rolling would make you dirty [SEP] Rolling is in mud	Mud is usually brown. [SEP] Mud is brown
3	B	I did a body testing in my garage [SEP] I did body testing in my garage	i left the garage and went to have a body testing [SEP] i left garage	there is no professional equipment for body testing in the garage [SEP] 	i will go to have a body testing after fixing my garage [SEP] i have body testing
4	A	I ride a leopard to work every day [SEP] I ride leopard	Leopards are not used as vehicles [SEP] Leopards are not used	Leopard have four legs and a tail and a car has four wheels [SEP] 	a leopard cannot drive a car [SEP] leopard can not drive car
5	B	We use book to know the time [SEP] We use book know [SEP] We know time	A book and a clock is very essential in our daily life [SEP] book is very essential	A book is used to study [SEP] book is used study	A book plays a very important role in our life [SEP] book plays role
6	B	The sun goes around the earth [SEP] sun goes around earth	The Sun is round and very hot [SEP] Sun is round	All the planets go around the Sun in the solar system [SEP] planets go in solar system [SEP] planets go around Sun	The Earth's surface is mostly blue [SEP] Earth 's surface is blue [SEP] Earth has surface
7	C	He went to the dentist because he was sick [SEP] He went to dentist [SEP] He went sick [SEP] he was sick	A dentist normally removes the plaque from your teeth [SEP] dentist normally removes plaque	A dentist could be any race or nationality [SEP] 	A dentist cannot treat you when you are sick [SEP] dentist can not treat you [SEP] you are when sick
8	C	He is moving so he takes things out of the box [SEP] he so takes things out of box	Taking things out of the box makes the room in a mess [SEP] room is in mess [SEP] room Taking things	When moving, we should be careful of not losing anything, including every box [SEP] we losing anything including box [SEP] we should should careful	People put things in boxes for easy transportation while moving [SEP] People put things
9	C	The chicken laid a dog [SEP] chicken laid dog	Dog hates cat [SEP] Dog hates cat	Dog plays with ball [SEP] Dog plays with ball	Dog is not born for chicken [SEP] Dog is not born for chicken
10	B	It's only a race in honor of my birthday [SEP] It 's only race in honor of my birthday	there is a race in the park on my birthday. [SEP] race is in park	people have birthday party not birthday race. [SEP] people have birthday party not birthday race	the twins raced to their mother to get presents on their birthday. [SEP] twins raced to their mother [SEP] twins get presents
11	A	He wore a lawn mower to church [SEP] He wore lawn mower	A suit can be worn and a lawn mower cuts grass. [SEP] suit can can worn	suits are usually black and lawn mowers are usually red [SEP] lawn mowers are red [SEP] suits are black	suits cannot wear lawn mowers [SEP] suits can not wear lawn mowers
12	B	The eagle flies deep in the ocean [SEP] eagle flies deep in ocean	Eagles cannot find materials for their nest in the deep ocean [SEP] Eagles can not find materials for their nest in deep ocean	Eagles do not go into bodies of water [SEP] Eagles do not go into bodies of water	Eagles are not the same color of ocean and could not camoflauge [SEP] Eagles are not same color
13	A	Dolphins breathe cheese. [SEP] Dolphins breathe cheese	Cheese is solid and cannot be inhaled. [SEP] Cheese is solid	Cheese has many flavors. [SEP] Cheese has many flavors	Cheese is a dairy product. [SEP] Cheese is dairy product
14	A	During the race, Mr. Taylor chats with the driver using a loudspeaker. [SEP] Mr. Taylor chats with driver [SEP] Mr. Taylor chats During race [SEP] Mr. Taylor using loudspeaker	A loudspeaker is used to announce things or play music rather than talking. [SEP] things play music [SEP] loudspeaker is used	The loudspeaker announced the final rank of the race. [SEP] loudspeaker announced final rank	the driver uses a loudspeaker to remind the players in the race [SEP] players is in race [SEP] driver uses loudspeaker [SEP] driver remind players
15	C	people wear sunglasses on rainy days [SEP] people wear sunglasses	Generally speaking, the sunglasses are more expensive than the umbrella [SEP] sunglasses are more expensive	People use their hands to hold the umbrella and wear the sunglasses on their eyes [SEP] People use their hands [SEP] People hold umbrella [SEP] umbrella wear sunglasses	Sunglasses can not keep out the sun rain, but umbrellas can [SEP] 
16	A	The temperature of gold keeps rising, it's time to sell off [SEP] temperature keeps rising	Temperature doesn't affect gold's price [SEP] Temperature does not affect gold 's price [SEP] gold has price	High temperature can melt gold [SEP] High temperature can melt gold	Low temperature can make gold fragile [SEP] temperature can make gold fragile
17	B	Your plant should listen to your parents [SEP] Your plant should listen to your parents	Plants are nourished by the sun, while your parents eat plants [SEP] your parents eat plants [SEP] Plants are nourished	Plants cannot listen to your parents [SEP] Plants can not listen to your parents	Plants can grow taller than your parents [SEP] Plants can grow taller
18	B	If you want to go to a restaurant then you should wear earrings. [SEP] you want go to restaurant [SEP] you wear earrings	Earrings are not as important as a pair of shoes. [SEP] Earrings are not important	Earrings which are only decoration are not necessary for going outside. [SEP] Earrings are not necessary	Earrings are more expensive than a pair of shoes sometimes. [SEP] Earrings are more expensive
20	B	Fried underwear is a popular dish [SEP] Fried underwear is dish [SEP] underwear is popular	Underwear doesn't smell like buttered noodles [SEP] Underwear does not smell like noodles	Underwear is not edible [SEP] Underwear is not edible	Underwear isn't served at restaurants [SEP] Underwear is not served
